mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	11/16	Tempo	3/4	1	1	0						𝅘𝅥=120	120.0	𝅘𝅥	120.0	0.0	
1	0	0	0	0.25	0	11/16	Chord	3/4	1	1	1/16	1/16	1	0								
2	1	1/4	1/4	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	1								
2	1	5/4	5/4	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	2								
2	1	19/12	19/12	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	3								
2	1	23/12	23/12	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	4								
2	1	9/4	9/4	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	5								
2	1	31/12	31/12	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	6								
2	1	35/12	35/12	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	7								
3	2	13/4	13/4	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	8								
3	2	17/4	17/4	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	9								
3	2	55/12	55/12	0.0	1/3	1/3	StaffText	3/4	1	1	0					CORRENTE						
3	2	55/12	55/12	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	10								
3	2	59/12	59/12	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	11								
3	2	21/4	21/4	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	12								
3	2	67/12	67/12	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	13								
3	2	71/12	71/12	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	14								
4	3	25/4	25/4	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	15								
4	3	7	7	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	16								
4	3	29/4	29/4	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	17								
4	3	8	8	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	18								
4	3	33/4	33/4	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	19								
4	3	9	9	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	20								
5	4	37/4	37/4	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	21								
5	4	10	10	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	22								
5	4	41/4	41/4	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	23								
5	4	11	11	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	24								
5	4	45/4	45/4	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	25								
