mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	1	1	.C.I{		C	I		I	I						{	M	0	0	0, 4, 1		0	0
2	2	0	0	3/4	1	1	V6		C	I		V6	V		6					M	0	0	5, 2, 1		1	5
2	2	1/8	1/8	3/4	1	1	viio		C	I		viio	vii	o						o	0	0	5, 2, -1		5	5
2	2	3/8	3/8	3/4	1	1	V6(2)		C	I		V6(2)	V		6	2				M	0	0	5, 2, 3		1	5
2	2	1/2	1/2	3/4	1	1	V6		C	I		V6	V		6					M	0	0	5, 2, 1		1	5
3	3	0	0	3/4	1	1	I		C	I		I	I							M	0	0	0, 4, 1		0	0
3	3	1/4	1/4	3/4	1	1	ii7/V		C	I		ii7/V	ii		7		V			mm7	0	0	3, 0, 4, 1		3	3
3	3	1/2	1/2	3/4	1	1	V7/V		C	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
4	4	0	0	3/4	1	1	V		C	I		V	V							M	0	0	1, 5, 2		1	1
5	5	0	0	3/4	1	1	ii6(4)		C	I		ii6(4)	ii		6	4				m	0	0	1, 3, 2		2	1
5	5	1/4	1/4	3/4	1	1	ii6		C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
6	6	0	0	3/4	1	1	viio64		C	I		viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1
6	6	1/4	1/4	3/4	1	1	I6(2)		C	I		I6(2)	I		6	2				M	0	0	4, 1, 2		0	4
6	6	3/8	3/8	3/4	1	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
6	6	1/2	1/2	3/4	1	1	vi		C	I		vi	vi							m	0	0	3, 0, 4		3	3
7	7	0	0	3/4	1	1	ii7		C	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
7	7	1/4	1/4	3/4	1	1	V		C	I		V	V							M	0	0	1, 5, 2		1	1
7	7	1/2	1/2	3/4	1	1	V7		C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	0	0	3/4	1	1	I}{		C	I		I	I						}{	M	0	0	0, 4, 1		0	0
9	9	0	0	3/4	1	1	V.V2		C	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
9	9	1/2	1/2	3/4	1	1	I6		C	V		I6	I		6					M	0	0	4, 1, 0		0	4
10	10	0	0	3/4	1	1	IV	ii6	C	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
10	10	1/4	1/4	3/4	1	1	V(64)		C	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
10	10	1/2	1/2	3/4	1	1	V7		C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	11	0	0	3/4	1	1	I}		C	V		I	I						}	M	0	0	0, 4, 1		0	0
13	12	0	0	3/4	1	1	{		C	V									{		0	0				
14	13	0	0	3/4	1	1	V6/ii		C	V		V6/ii	V		6		ii			M	0	0	7, 4, 3		3	7
14	13	1/8	1/8	3/4	1	1	#viio/ii		C	V		#viio/ii	#vii	o			ii			o	0	0	7, 4, 1		7	7
14	13	3/8	3/8	3/4	1	1	#viio7/ii		C	V		#viio7/ii	#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
14	13	1/2	1/2	3/4	1	1	V6/ii		C	V		V6/ii	V		6		ii			M	0	0	7, 4, 3		3	7
