mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/4	3/8	1	1	c.V{	c	i		V	V						{	M	1	1	1, 5, 2		1	1
2	1	0	0	3/8	1	1	i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	1	1/4	1/4	3/8	1	1	#viio6	c	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
3	2	0	0	3/8	1	1	i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	2	1/4	1/4	3/8	1	1	#viio6	c	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
4	3	0	0	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
5	4	0	0	3/8	1	1	VI	c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
5	4	1/4	1/4	3/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
6	5	0	0	3/8	1	1	iv7	c	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
7	6	0	0	3/8	1	1	#viio6	c	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
7	6	1/4	1/4	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
8	7	0	0	3/8	1	1	V|HC}	c	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
9	8	3/16	3/16	3/8	1	1	i6{	c	i		i6	i		6				{	m	1	1	-3, 1, 0		0	-3
10	9	1/4	1/4	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
11	10	0	0	3/8	1	1	III.IV	c	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
12	11	0	0	3/8	1	1	V65	c	III		V65	V		65					Mm7	1	0	5, 2, -1, 1		1	5
14	13	0	0	3/8	1	1	vi6	c	III		vi6	vi		6					m	1	0	0, 4, 3		3	0
15	14	0	0	3/8	1	1	viio6	c	III		viio6	vii	o	6					o	1	0	2, -1, 5		5	2
16	15	0	0	3/8	1	1	I|PAC}{	c	III		I	I					PAC	}{	M	1	0	0, 4, 1		0	0
18	17	0	0	3/8	1	1	vi	c	III		vi	vi							m	1	0	3, 0, 4		3	3
19	18	0	0	3/8	1	1	IV	c	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
21	20	0	0	3/8	1	1	V6	c	III		V6	V		6					M	1	0	5, 2, 1		1	5
22	21	0	0	3/8	1	1	I6	c	III		I6	I		6					M	1	0	4, 1, 0		0	4
22	21	1/4	1/4	3/8	1	1	viio6	c	III		viio6	vii	o	6					o	1	0	2, -1, 5		5	2
23	22	0	0	3/8	1	1	I6	c	III		I6	I		6					M	1	0	4, 1, 0		0	4
23	22	1/4	1/4	3/8	1	1	V6	c	III		V6	V		6					M	1	0	5, 2, 1		1	5
24	23	0	0	3/8	1	1	I|PAC}	c	III		I	I					PAC	}	M	1	0	0, 4, 1		0	0
25	24	1/4	1/4	3/8	1	1	{	c	III									{		1	0				
26	25	0	0	3/8	1	1	I6	c	III		I6	I		6					M	1	0	4, 1, 0		0	4
26	25	1/4	1/4	3/8	1	1	viio6	c	III		viio6	vii	o	6					o	1	0	2, -1, 5		5	2
27	26	0	0	3/8	1	1	I6	c	III		I6	I		6					M	1	0	4, 1, 0		0	4
27	26	1/4	1/4	3/8	1	1	viio/V	c	III		viio/V	vii	o			V			o	1	0	6, 3, 0		6	6
28	27	0	0	3/8	1	1	V	c	III		V	V							M	1	0	1, 5, 2		1	1
30	29	0	0	3/8	1	1	v.iio64	c	v		iio64	ii	o	64					o	1	1	-4, 2, -1		2	-4
31	30	0	0	3/8	1	1	i	c	v		i	i							m	1	1	0, -3, 1		0	0
32	31	0	0	3/8	1	1	V|HC}	c	v		V	V					HC	}	M	1	1	1, 5, 2		1	1
33	32	3/16	3/16	3/8	1	1	i6{	c	v		i6	i		6				{	m	1	1	-3, 1, 0		0	-3
34	33	1/4	1/4	3/8	1	1	i	c	v		i	i							m	1	1	0, -3, 1		0	0
35	34	0	0	3/8	1	1	v6	c	v		v6	v		6					m	1	1	-2, 2, 1		1	-2
35	34	1/4	1/4	3/8	1	1	v	c	v		v	v							m	1	1	1, -2, 2		1	1
36	35	0	0	3/8	1	1	iv6	c	v		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
38	37	0	0	3/8	1	1	#viio	c	v		#viio	#vii	o						o	1	1	5, 2, -1		5	5
38	37	1/4	1/4	3/8	1	1	i	c	v		i	i							m	1	1	0, -3, 1		0	0
39	38	0	0	3/8	1	1	V	c	v		V	V							M	1	1	1, 5, 2		1	1
40	39	0	0	3/8	1	1	i|PAC}	c	v		i	i					PAC	}	m	1	1	0, -3, 1		0	0
41	40	3/16	3/16	3/8	1	1	{	c	v									{		1	1				
42	41	0	0	3/8	1	1	i.#viio7/iv	c	i		#viio7/iv	#vii	o	7		iv			o7	1	1	4, 1, -2, -5		4	4
43	42	1/4	1/4	3/8	1	1	V/iv	c	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
44	43	0	0	3/8	1	1	iv	c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
46	45	0	0	3/8	1	1	vii%7/III	c	i		vii%7/III	vii	%	7		III			%7	1	1	2, -1, -4, 0		2	2
47	46	1/4	1/4	3/8	1	1	V/III	c	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
48	47	0	0	3/8	1	1	III	c	i		III	III							M	1	1	-3, 1, -2		-3	-3
50	49	0	0	3/8	1	1	#vio64	c	i		#vio64	#vi	o	64					o	1	1	-3, 3, 0		3	-3
52	51	0	0	3/8	1	1	#viio64	c	i		#viio64	#vii	o	64					o	1	1	-1, 5, 2		5	-1
54	53	0	0	3/8	1	1	V(64)	c	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
55	54	0	0	3/8	1	1	V7	c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
56	55	0	0	3/8	1	1	i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
57	56	0	0	3/8	1	1	V6/iv	c	i		V6/iv	V		6		iv			M	1	1	4, 1, 0		0	4
58	57	0	0	3/8	1	1	iv	c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
58	57	1/4	1/4	3/8	1	1	i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
59	58	0	0	3/8	1	1	#viio6	c	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
59	58	1/4	1/4	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
60	59	0	0	3/8	1	1	V|HC}	c	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
61	60	3/16	3/16	3/8	1	1	i6{	c	i		i6	i		6				{	m	1	1	-3, 1, 0		0	-3
62	61	1/8	1/8	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
64	63	0	0	3/8	1	1	VI	c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
65	64	0	0	3/8	1	1	iv	c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
67	66	0	0	3/8	1	1	#viio	c	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
68	67	0	0	3/8	1	1	i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
68	67	1/4	1/4	3/8	1	1	#viio7	c	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
70	69	0	0	3/8	1	1	V(64)	c	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
71	70	1/4	1/4	3/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
72	71	0	0	3/8	1	1	i|PAC}	c	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
