mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	11/16	3/4	1	1	b.i{	b	i		i	i						{	m	1	1	5, 2, 6		5	5	5	7	0.4166666666666667	0.3125	0.5	0.38461538461538464
3	2	0	0	3/4	1	1	V65	b	i		V65	V		65					Mm7	1	1	10, 7, 4, 6		6	10	4	8	0.3333333333333333	0.25	0.5	0.3333333333333333
4	3	0	0	3/4	1	1	i	b	i		i	i							m	1	1	5, 2, 6		5	5	5	7	0.4166666666666667	0.3125	0.4375	0.4166666666666667
5	4	0	0	3/4	1	1	V65/III	b	i		V65/III	V		65		III			Mm7	1	1	7, 4, 1, 3		3	7	4	8	0.3333333333333333	0.25	0.5	0.3333333333333333
6	5	0	0	3/4	1	1	III	b	i		III	III							M	1	1	2, 6, 3		2	2	5	7	0.4166666666666667	0.3125	0.4375	0.4166666666666667
7	6	0	0	3/4	1	1	bII6	b	i		bII6	bII		6					M	1	1	4, 1, 0		0	4	5	7	0.4166666666666667	0.3125	0.4375	0.4166666666666667
8	7	0	0	3/4	1	1	V65	b	i		V65	V		65					Mm7	1	1	10, 7, 4, 6		6	10	2	6	0.25	0.125	0.375	0.25
8	7	1/2	1/2	3/4	1	1	#viio7/iv	b	i		#viio7/iv	#vii	o	7		iv			o7	1	1	9, 6, 3, 0		9	9	1	3	0.25	0.0625	0.1875	0.25
9	8	0	0	3/4	1	1	V65/VII	b	i		V65/VII	V		65		VII			Mm7	1	1	8, 5, 2, 4		4	8	2	6	0.25	0.125	0.375	0.25
9	8	1/2	1/2	3/4	1	1	#viio7	b	i		#viio7	#vii	o	7					o7	1	1	10, 7, 4, 1		10	10	3	5	0.375	0.1875	0.3125	0.375
10	9	1/4	1/4	3/4	1	1	i	b	i		i	i							m	1	1	5, 2, 6		5	5	3	5	0.375	0.1875	0.3125	0.375
11	10	0	0	3/4	1	1	V7	b	i		V7	V		7					Mm7	1	1	6, 10, 7, 4		6	6	4	8	0.3333333333333333	0.25	0.5	0.3333333333333333
